similarity_score,track_name,artists,album_name,popularity,track_genre
0.3829,"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,"Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",77,rock
0.3829,Bad Liar,Imagine Dragons,Origins (Deluxe),81,rock
0.3826,November Rain,Guns N' Roses,Use Your Illusion I,81,rock
0.3819,Little Saint Nick - 1991 Remix,The Beach Boys,Jingle Bell Rock 2022,0,rock
0.3818,Good Vibrations - Remastered 2001,The Beach Boys,On air 70's Hits,1,rock
0.3818,God Only Knows - Mono / 1997 Remastered,The Beach Boys,World's Best Christmas Playlist,0,rock
0.3818,Don't Let the Light Go Out,Panic! At The Disco,Your Perfect Soundtrack,1,rock
0.3818,Little Saint Nick - 1991 Remix,The Beach Boys,Classic Christmas Music 2022,0,rock
0.3818,God Only Knows - Mono / 1997 Remastered,The Beach Boys,Santa Claus Is Coming To Town,0,rock
0.3817,"Paint It, Black",The Rolling Stones,Helloween Party,2,rock
0.3817,Didn't I,OneRepublic,pov: it's 2020,0,rock
0.3816,Christmas Time,Bryan Adams,World's Best Christmas Playlist,0,rock
0.3816,Christmas Time,Bryan Adams,Best Christmas Playlist Ever 2022,0,rock
0.3816,Poli / Love - En Vivo,Zoé,Alternativo diferente latino,0,rock
0.2383,G.O.A.T.,Diljit Dosanjh,G.O.A.T.,65,pop
